"","x"
"1",18.4639797390206
"2",16.098359814633
"3",17.7616465802151
"4",13.7872997496783
"5",18.4298359758579
"6",20.8581657555359
"7",13.8884005709596
"8",12.9154306460574
"9",12.1494484767938
"10",5.27112342154513
"11",8.94605245666691
"12",12.8940778379712
"13",6.5332915615495
"14",7.52000364696355
"15",15.1417299874526
"16",12.9747331494046
"17",25.016164765618
"18",12.4366899064315
"19",16.8994824854151
"20",22.0524722935336
"21",12.8928958906491
"22",3.55595972868804
"23",10.0325592891657
"24",19.728886030121
"25",15.2711683337843
"26",21.9219266976483
"27",17.8487949177285
"28",5.9641470000615
"29",13.2541901072214
"30",15.1810155245664
"31",18.0216366006014
"32",8.38565232819409
"33",17.9671042084137
"34",14.0974151816476
"35",17.3527637744001
"36",17.6087290286292
"37",13.1366627521906
"38",21.8799951978495
"39",9.98014973261366
"40",18.0028397353475
"41",9.48905243743559
"42",19.9914243381303
"43",17.7667112170528
"44",13.299482724196
"45",18.8283468744364
"46",26.9456656117301
"47",9.35888954122872
"48",12.1337772442388
"49",22.1321968873657
"50",8.88623898847492
"51",13.3432890422337
"52",12.7090524816378
"53",16.7086099600478
"54",19.797592698532
"55",12.1666075826098
"56",13.7727813009047
"57",6.56301426822468
"58",5.32526130694221
"59",18.244464967481
"60",20.6329495587836
"61",18.9747305684425
"62",21.779237983145
"63",9.197489524911
"64",15.0732244556667
"65",17.5619137693017
"66",17.6017649571236
"67",15.8245331325304
"68",7.13426358925783
"69",6.41313552966374
"70",14.6136107238595
"71",16.2557570152993
"72",4.69829493132344
"73",14.1055777664034
"74",15.7078411936628
"75",4.88835503088497
"76",16.9923214594096
"77",22.9807994890327
"78",9.62363628991604
"79",20.6694322827974
"80",7.09698985893137
"81",13.5935876171448
"82",15.4681987602818
"83",28.3816725839177
"84",17.9770536999567
"85",10.6948648283216
"86",17.6402147779041
"87",7.13859756897798
"88",15.6568777130485
"89",18.3639948613772
"90",23.5726860940554
"91",21.3308883183433
"92",8.63115553783805
"93",16.3735750594298
"94",13.3595961342495
"95",15.7441771307772
"96",8.07808213911762
"97",14.4976719134534
"98",14.9422244835425
"99",15.829082316686
"100",19.1780183401967
"101",19.9289807051175
"102",17.1788170443897
"103",5.78423449979544
"104",22.0616382003413
"105",5.77677062472498
"106",9.59746577834334
"107",23.3955961135006
"108",7.44459813112331
"109",19.4349522300149
"110",21.9117554247821
"111",16.7187507716736
"112",10.2271444681697
"113",8.50087426190711
"114",20.1145356730779
"115",13.4437006548092
"116",8.78903648033921
"117",18.291184537275
"118",5.90124699066798
"119",12.3370065008138
"120",8.71081574845287
"121",18.3959667777214
"122",19.5957895197974
"123",20.5255655236216
"124",11.8270820433553
"125",13.0719092232492
"126",17.164009627443
"127",12.6046608725139
"128",9.36465401545062
"129",12.3509744759982
"130",6.69213894257516
"131",19.3903636596399
"132",8.21605760745727
"133",14.1632256256335
"134",14.8523235404595
"135",14.960020134992
"136",14.3712259594063
"137",16.1713878690419
"138",17.728140541152
"139",16.3471690554451
"140",18.9297380867044
"141",9.38869778573405
"142",5.39346194525678
"143",12.7753963967067
"144",8.44259640065235
"145",13.267264531862
"146",8.94115934707891
"147",14.3538664176598
"148",15.3946117151643
"149",9.08465383630059
"150",11.3126588402589
"151",16.2992930989547
"152",5.83991158777927
"153",19.5255522200649
"154",17.8247816832336
"155",15.5349280826531
"156",14.4609861319704
"157",13.9921045526946
"158",9.63465416715005
"159",20.3605934152921
"160",21.6287687725987
"161",17.9954868081451
"162",19.6488127226813
"163",8.72875700025681
"164",22.2936667772872
"165",10.7764797798377
"166",12.9809469251446
"167",13.2001626611118
"168",11.6175433092414
"169",15.0724366161024
"170",13.0424145425842
"171",21.8706184486358
"172",15.1311381007689
"173",14.6696724507555
"174",9.60965022486106
"175",14.4281729203642
"176",21.8715716775637
"177",6.12409965260404
"178",19.9067361946658
"179",14.0386936740743
"180",6.59536433137861
"181",12.1882663819676
"182",11.0291379183103
"183",20.9171698013805
"184",18.0567113283889
"185",11.0853547318888
"186",17.4020358955265
"187",11.2447922631267
"188",9.33481423277992
"189",15.6290945711288
"190",12.6314865839372
"191",13.3810261020818
"192",16.6198249693827
"193",11.2940743388619
"194",10.9423698552104
"195",15.337523104012
"196",17.1717948394238
"197",10.4966267743358
"198",14.7938056653707
"199",17.3337636540128
"200",17.153588043465
